kstar,"qc=0","qc=1","qc=2","qc=3","qc=4","qc=5","qc=6"
0,0.695,0.695,0.695 / 1.0,0.695 / 1.0,3.0,1.717,3.0
1,3,3,1.6 / 1.0,1.6 / 1.0,3.0,1.717,3.0
2,4,4,4.0 / 4.7619,4.0 / 4.7619,3.0,3.825,3.0
3,Eq.2,Eq.1,Eq.2 / 1.15,Eq.1 / 1.15,3.0,Eq.1,2.78 / (4.7619 or 3.45) / 5.26
4,3,3,3.0 / 3.0,3.0 / 3.0,3.0,3,2.78 / (4.7619 or 3.45) / 5.26
5,Eq.2,Eq.1,Eq.2 / 1.15,Eq.1 / 1.15,3.0,Eq.1,2.78 / (4.7619 or 3.45) / 5.26
6,Eq.2,Eq.1,Eq.2 / 1.15,Eq.1 / 1.15,3.0,Eq.1,2.78 / (4.7619 or 3.45) / 5.26
7,3,3,3.0 / 3.0,3.0 / 3.0,1.7,inf,3.0 / 3.0
8,0.784,0.784,4.0 / 4.7619,4.0 / 4.7619,3.5,inf,3.5
9,0.784,0.784,0.784 / 1.15,0.784 / 1.15,3.5,inf,3.5
10-14,0.628,0.628,3.0 / 0.625,3.0 / 0.625,0.628,0.628,0.628
